Most common words: 
taliban : 15
city : 7
afghanistan : 7
herat : 5
control : 5
northern : 5
government : 4
group : 4
crossing : 4
last : 4
week : 4
us : 4
province : 3
border : 3
iran : 3
advance : 3
taken : 3
areas : 3
armed : 3
promised : 3
peace : 3
districts : 3
friday : 3
would : 3
already : 3
main : 3
tajikistan : 3
including : 3
troops : 3
also : 3
attacks : 3
fighting : 3
officials : 3
rights : 3
western : 2
seizing : 2
key : 2
turkmenistan : 2
beyond : 2
part : 2
militant : 2
kabul : 2
could : 2
months : 2
khan : 2
called : 2
outskirts : 2
men : 2
go : 2
evening : 2
